# Program:featureCounts v1.6.2; Command:"featureCounts" "-a" "pdam_1415_maker.gtf" "-o" "feature_counts.out" "-t" "exon" "-g" "gene_id" "Wt1-1a_1415.bam" "Wt1-1b_1415.bam" "Wt1-1c_1415.bam" "Wt1-2a_1415.bam" "Wt1-2b_1415.bam" "Wt1-3a_1415.bam" "Wt1-3b_1415.bam" "Wt1-3c_1415.bam" "Wt1-4a_1415.bam" "Wt1-4b_1415.bam" "Wt1-4c_1415.bam" "Wt1-5a_1415.bam" "Wt1-5b_1415.bam" "Wt1-5c_1415.bam" "Wt1-6b_1415.bam" "Wt1-6c_1415.bam" "Wt2-1a_1415.bam" "Wt2-1b_1415.bam" "Wt2-1c_1415.bam" "Wt2-2b_1415.bam" "Wt2-2c_1415.bam" "Wt2-3a_1415.bam" "Wt2-3b_1415.bam" "Wt2-3c_1415.bam" "Wt2-4a_1415.bam" "Wt2-5a_1415.bam" "Wt2-5b_1415.bam" "Wt2-5c_1415.bam" "Wt2-6a_1415.bam" "Wt2-6b_1415.bam" "Wt2-6c_1415.bam" 
Geneid	Chr	Start	End	Strand	Length	Wt1-1a_1415.bam	Wt1-1b_1415.bam	Wt1-1c_1415.bam	Wt1-2a_1415.bam	Wt1-2b_1415.bam	Wt1-3a_1415.bam	Wt1-3b_1415.bam	Wt1-3c_1415.bam	Wt1-4a_1415.bam	Wt1-4b_1415.bam	Wt1-4c_1415.bam	Wt1-5a_1415.bam	Wt1-5b_1415.bam	Wt1-5c_1415.bam	Wt1-6b_1415.bam	Wt1-6c_1415.bam	Wt2-1a_1415.bam	Wt2-1b_1415.bam	Wt2-1c_1415.bam	Wt2-2b_1415.bam	Wt2-2c_1415.bam	Wt2-3a_1415.bam	Wt2-3b_1415.bam	Wt2-3c_1415.bam	Wt2-4a_1415.bam	Wt2-5a_1415.bam	Wt2-5b_1415.bam	Wt2-5c_1415.bam	Wt2-6a_1415.bam	Wt2-6b_1415.bam	Wt2-6c_1415.bam
pdam_00000306	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	454961;456454;457277;458250;460326;461041	455538;456951;457404;458422;460648;461080	+;+;+;+;+;+	1740	164	132	158	95	146	114	138	175	106	103	102	153	251	198	240	279	364	186	199	26	186	160	140	87	140	202	260	160	273	192	242
pdam_00000307	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	461681;462216;462537;463194;463683;464071;464909;465856;466235;466762;467503	462000;462351;462674;463369;463827;464208;465092;465977;466299;467033;467594	-;-;-;-;-;-;-;-;-;-;-	1788	99	105	73	49	225	84	103	158	81	123	134	78	132	259	156	241	184	130	67	10	21	62	67	85	23	196	173	67	191	214	114
pdam_00000308	SczhEnG_1415;SczhEnG_1415	469206;469433	469365;469902	+;+	630	4	4	4	3	12	1	6	3	11	2	7	1	5	14	1	11	17	16	4	0	3	7	5	9	6	21	12	4	9	6	6
pdam_00000309	SczhEnG_1415	469957	470265	+	309	21	15	11	10	57	8	11	13	24	15	15	6	10	33	8	40	15	20	1	1	1	0	6	7	3	34	20	4	25	9	11
pdam_00000310	SczhEnG_1415	472598	472858	+	261	0	1	1	0	1	0	1	0	0	0	0	2	1	1	2	1	3	6	1	0	0	0	2	2	3	3	4	0	5	2	4
pdam_00000311	SczhEnG_1415;SczhEnG_1415	472888;476147	474119;477800	+;+	2886	130	134	202	29	405	59	116	52	139	147	127	114	328	174	219	201	681	556	96	56	154	127	128	193	151	554	349	163	523	222	299
pdam_00000312	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	478170;478787;479144;479533;480140;481780;481989	478328;478910;479184;479689;480253;481836;482053	-;-;-;-;-;-;-	717	15	12	10	5	30	23	11	10	13	19	25	9	15	33	16	35	24	18	11	2	6	8	12	21	3	25	22	9	42	34	22
pdam_00000313	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	483560;485775;486269;486538;487102;487404;487818	485512;485872;486353;486636;487314;487469;488563	-;-;-;-;-;-;-	3260	237	226	230	155	174	148	167	177	160	167	212	181	380	316	365	384	407	288	174	25	156	166	188	164	235	259	331	194	349	273	303
pdam_00000314	SczhEnG_1415	483765	484190	+	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pdam_00000315	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	488847;490468;491558;491829;492208;492554;493028;493845;494544;495148;495924	489114;490620;491614;491930;492290;492628;493070;493925;494651;495272;496091	+;+;+;+;+;+;+;+;+;+;+	1263	52	47	44	13	38	46	44	55	35	33	28	32	66	67	58	64	81	52	76	2	29	27	43	32	42	60	86	17	73	55	77
pdam_00000316	SczhEnG_1415;SczhEnG_1415	503268;504342	503626;505003	+;+	1021	116	126	153	60	156	48	85	91	61	64	52	66	131	143	148	160	205	155	94	12	68	67	63	63	71	132	169	83	150	103	135
pdam_00000317	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	505843;508366;509346;509947;510714;511521;512070;513267;520781;521091;521817	506950;508559;509441;510168;510959;511649;512654;513496;520986;521324;521911	-;-;-;-;-;-;-;-;-;-;-	3345	921	664	866	468	604	615	737	606	533	488	621	525	1193	1152	1057	1158	1361	685	657	61	643	505	701	603	569	1259	984	621	1219	862	923
pdam_00000318	SczhEnG_1415	527348	528250	+	903	119	57	142	71	74	86	61	114	52	39	51	43	127	160	111	121	137	41	91	8	100	45	93	58	37	62	140	34	131	117	103
pdam_00000319	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	530155;530453;531152;531494;531662;532690	530221;530491;531331;531501;532023;532750	+;+;+;+;+;+	717	1	0	0	0	0	0	1	0	0	0	1	0	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
pdam_00000320	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	532324;533923;534883;535375;536351;537240;538122;539148	533538;534047;535110;535414;536399;537379;538161;539357	-;-;-;-;-;-;-;-	2047	89	82	114	63	88	106	92	129	89	110	103	89	149	194	126	183	185	92	76	6	54	65	88	110	121	139	214	60	210	152	190
pdam_00000321	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	540823;540966;542614;543410;543867;544110;544737;544934;545133;545712;547008;547483;547711;548098;548370	540864;541147;542689;543602;543987;544242;544846;544997;545267;546771;547045;547564;547803;548180;548810	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2853	93	134	129	69	129	103	120	118	91	97	138	131	209	220	180	234	251	127	135	13	88	74	161	105	122	196	185	84	302	236	228
pdam_00000322	SczhEnG_1415	549987	550466	+	480	12	9	12	8	11	15	21	6	9	8	10	8	17	16	10	27	16	3	8	1	2	1	6	11	4	18	14	10	18	14	15
pdam_00000323	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	551660;553651;554098;554467	552337;553823;554311;555165	-;-;-;-	1764	1679	1263	2033	672	647	1011	758	736	1050	572	734	1007	2013	2004	1605	1954	2653	1286	1470	132	1622	910	1163	822	705	1535	1846	1008	1844	1194	1341
pdam_00000324	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	557693;559534;560085;560635;560840;561162;561360;562188;562528;562733;562984;563281;563852;564235;564548;564776;564932;565079;565333;565837;566178	558929;559577;560146;560734;560935;561222;561464;562230;562608;562795;563030;563356;563926;564276;564589;564805;564996;565162;565390;565913;566355	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2666	703	718	748	431	567	505	591	535	521	455	674	601	1066	945	1069	828	1294	683	590	44	394	383	522	404	656	900	893	456	894	786	932
pdam_00000325	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	567867;570161;570279	569458;570211;570519	-;-;-	1884	383	420	509	241	276	286	346	317	374	297	401	358	776	671	602	722	958	484	409	36	506	368	371	315	300	729	644	472	744	589	571
pdam_00000326	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	570787;572473;573814;574045;574700;575427;575659	571015;572949;573881;574206;574864;575516;576902	+;+;+;+;+;+;+	2435	355	389	451	249	335	253	386	207	343	372	374	429	539	545	528	597	904	593	373	48	286	335	547	649	383	843	629	361	753	592	755
pdam_00000327	SczhEnG_1415	577157	578134	-	978	11	9	6	6	5	8	8	7	6	5	11	13	21	16	20	22	19	16	8	0	9	12	23	16	12	19	15	9	26	14	17
pdam_00000328	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	581034;581467;581681;582505;582849;586090;586634;587084;587317;587717;588047	581295;581561;581930;582587;582899;586517;586888;587174;587566;587799;588097	-;-;-;-;-;-;-;-;-;-;-	1899	156	37	86	105	16	3	0	8	4	0	3	40	17	3	1	3	37	0	29	1	3397	0	1	1	0	0	4	1	1	1	0
pdam_00000329	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	594025;594617;595094;595487	594359;594707;595348;595962	+;+;+;+	1157	578	85	574	52	23	40	2	83	29	0	2	4	63	93	6	19	94	2	12	1	1178	0	3	1	0	3	97	0	0	0	1
pdam_00000330	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	597489;598584;599078;600330;601515;602268;603254;604082;605132;605497;606016;606264;606847;607648;608588;609004;609604;610108;610902;611119;611891;612390;613380;613991;615047;615877;616430;616964;617275;617709;618449;619102;619687;620201;620735;621337;622100;622617;623139;623638;624060;624592;625817;626655;627185;627847;628248;628641;628819;629600;629940;630264;631109;631594;633045;633648;634377;634980;635693;636671;637397;638475	597855;598876;600081;600645;601763;602444;603476;604209;605218;605610;606156;606452;607007;607879;608677;609168;609762;610224;611004;611301;612041;612780;613502;614224;615270;616045;616533;617147;617409;617861;618637;619248;619878;620319;621029;621594;622316;622894;623426;623959;624148;624831;626014;626986;627350;627999;628465;628680;628954;629843;630069;630537;631368;631932;633245;633757;634572;635136;636066;636838;637723;638621	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	13170	319	366	451	256	330	325	287	380	417	252	340	402	492	608	470	584	749	297	506	55	755	273	344	344	450	454	535	338	610	680	566
pdam_00000331	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	649093;650833;651431;652345;653295;653764;654607	649422;651061;651700;652620;653570;653934;654992	+;+;+;+;+;+;+	1938	69	25	41	20	21	25	53	52	23	5	14	35	60	65	66	50	105	13	16	0	11	33	25	22	14	68	46	28	33	56	47
pdam_00000332	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	656023;656758;657609;658130;658505;658719;659581;660269;660817;661368;661539;661784;662844;663952;664139;664729;665224;665565;665870;666300;666645;666839	656160;656860;657820;658237;658591;658796;659679;660348;660864;661446;661591;661850;662993;664012;664204;664820;665268;665602;665947;666398;666690;666904	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1893	244	256	197	79	175	172	157	244	117	138	139	134	351	379	343	369	363	199	272	6	109	153	192	215	149	229	400	181	412	350	324
pdam_00000333	SczhEnG_1415;SczhEnG_1415	673341;674301	673792;674373	-;-	525	312	301	259	99	214	202	125	237	161	110	124	186	413	513	395	342	543	226	305	20	343	141	238	146	109	298	460	186	340	307	214
pdam_00000334	SczhEnG_1415;SczhEnG_1415	681215;681415	681247;682296	-;-	915	3	7	3	4	2	9	8	5	10	5	3	8	32	14	15	21	29	10	7	3	8	2	6	8	3	12	18	9	18	10	7
pdam_00000335	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	682811;683358;684338;684500;685034;685432;685851;686583;687419;688116;688396;689295;689629;690047;690960;691840;692845;693242;695423;696365;697711	683031;683927;684373;684562;685188;685445;686078;686749;687581;688199;688593;689396;689794;690198;691281;692001;693025;695009;695722;696427;697765	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5170	194	205	207	121	264	173	193	242	162	166	194	192	333	380	315	421	435	261	202	32	237	105	218	174	148	318	328	138	419	342	288
pdam_00000336	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	698358;698807;699417;699973;700616;701957;702793;703391;703893;704702	698497;698904;699551;700116;700718;702059;702866;703451;703965;705498	+;+;+;+;+;+;+;+;+;+	1728	142	97	138	60	102	82	112	124	100	89	104	90	148	167	172	197	181	109	135	5	132	80	103	94	120	139	185	89	181	162	164
pdam_00000337	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	705562;707710;708287;709653;710632;711679;712676;713272;713484	706668;707845;708507;710205;710837;711962;712854;713330;714470	+;+;+;+;+;+;+;+;+	3732	316	381	425	287	437	459	603	549	342	532	549	472	947	807	957	998	1069	619	371	56	296	448	753	674	711	1024	793	563	1391	1043	1106
pdam_00000338	SczhEnG_1415;SczhEnG_1415	715751;720584	719240;722478	+;+	5385	57	42	47	24	23	69	104	41	38	44	50	44	85	94	92	108	104	53	48	2	23	30	79	43	18	123	79	51	126	75	68
pdam_00000339	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	722783;724299;725114;725748;726888;728520;729350;730220;731558;732062;732520;732986;733537;734305	723284;724636;725263;725841;727846;728975;729559;730623;731732;732281;732713;733115;733786;735868	+;+;+;+;+;+;+;+;+;+;+;+;+;+	5646	296	334	357	207	248	254	311	222	412	346	438	382	524	475	492	601	663	396	344	17	199	209	345	300	447	524	375	223	665	545	508
pdam_00000340	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	745449;749200;750077;750701;751144;752025;752157;752799;753167;753307;754456;755281;755942;757604;758422;758901;761111;761256;764324	748842;749339;750137;750772;751218;752071;752285;752840;753215;753360;754593;755346;756004;757719;758486;758989;761157;761301;764406	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4776	208	200	229	107	267	180	309	273	202	230	224	208	506	443	478	498	571	314	228	34	166	195	271	312	256	472	405	256	577	517	396
pdam_00000341	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	767322;768639;769301;770399;771132;772109;772917;774275;775523;775904;776250;776460;776657;777111;777397;777602;778067;778623;778852;779412;780397;781017;781250;781479;781716;782345;782579;783447;783986;784238;785440;786209;786423;787239;787718;788365;789361;789728;790207	767986;768812;769576;770674;771383;772459;772990;774337;775613;775999;776345;776549;776752;777194;777459;777694;778162;778721;778947;779507;780471;781121;781408;781574;781811;782410;782668;783545;784093;784327;785556;786292;786671;787430;787804;788745;789391;790093;790215	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5727	83	39	63	175	143	97	161	167	56	197	86	161	204	193	337	408	172	65	74	10	292	139	189	187	79	229	258	147	354	323	198
pdam_00000342	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	791505;792700;793797;794606	792156;792763;793995;794984	+;+;+;+	1294	62	64	85	30	71	34	44	58	38	45	54	40	85	90	61	74	145	68	81	5	42	33	27	33	52	73	122	40	81	69	71
pdam_00000343	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	799964;800787;801381;803177;804057;805413	800455;801033;801565;803460;804625;805537	+;+;+;+;+;+	1902	0	0	0	0	0	0	0	2	0	3	3	0	2	0	1	0	5	0	0	0	0	0	0	0	0	1	1	0	8	0	4
pdam_00000344	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	818856;819530;819873;822920;823692;824531;825171;826092	818919;819572;820458;823163;823873;824814;825730;826153	+;+;+;+;+;+;+;+	2025	8	3	0	2	1	2	0	0	3	3	8	2	5	1	6	3	14	3	0	1	10	0	3	0	4	1	4	0	5	5	3
pdam_00000345	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	840493;841318;842062;843079;843492;844235;845133;848115	840660;841359;842665;843322;843673;844539;845716;848278	+;+;+;+;+;+;+;+	2293	36515	7198	5501	120	94	204	0	344	4999	6	9951	2344	4528	487	795	4305	7046	3452	3776	263	3185	42	3	8	2374	2	3183	103	3687	6403	1376
pdam_00000346	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	850432;850745;853454;854195;855196;855797;856221;857099;857908	850541;850989;853958;854964;855374;856101;856477;857435;859372	+;+;+;+;+;+;+;+;+	4173	181	102	123	75	328	32	73	301	38	61	30	40	95	219	88	48	64	19	2	9	21	44	16	32	24	80	248	53	120	127	47
pdam_00000347	SczhEnG_1415;SczhEnG_1415	867302;868432	867736;868470	+;+	474	77	32	112	4	118	0	24	1	1	14	0	2	7	71	10	6	790	1209	3	96	5	30	11	53	10	293	119	33	151	72	197
pdam_00000348	SczhEnG_1415;SczhEnG_1415	869502;869935	869839;870019	+;+	423	1530	386	1753	66	893	28	220	33	6	178	69	29	114	1021	354	352	8770	4651	61	686	284	168	94	222	155	2536	2661	433	886	453	1903
pdam_00000349	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	876517;877636;878888;879148;879892;889095;889956;890204;890732;891872;892187;898488;900180;901617	876989;878414;879066;879461;880145;889376;890134;890517;890985;892173;892208;898950;901091;901791	+;+;+;+;+;+;+;+;+;+;+;+;+;+	4902	353	125	551	39	380	33	88	29	29	77	179	11	49	444	61	108	3101	2287	39	233	56	53	50	159	65	1056	676	165	507	303	670
pdam_00000350	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	887847;888232;888899	888164;888410;888932	-;-;-	531	334	128	553	20	392	1	86	6	5	56	14	15	44	305	49	78	3705	2985	27	256	10	56	27	144	62	1013	678	151	455	219	684
pdam_00000351	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	901817;909794;919136;919831;920921;921827;922638;923567;924183	901856;910134;919622;920591;921099;922140;922894;923906;925343	+;+;+;+;+;+;+;+;+	3880	19178	32485	29979	9205	10190	10629	6185	6232	17633	6769	14792	24768	24816	25080	7251	15314	43489	18366	72028	1901	41280	9386	7924	4243	28027	10661	26243	11289	11005	21866	25988
pdam_00000352	SczhEnG_1415	926053	927099	-	1047	318	153	240	150	395	77	157	100	217	141	316	79	108	300	314	521	311	76	55	10	139	75	164	115	30	183	143	78	268	447	192
pdam_00000353	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	930295;932174;932903;933508;934635;935259;936046;937699	931807;932237;932978;933571;934757;935332;936213;937956	-;-;-;-;-;-;-;-	2340	56	35	72	39	26	46	41	23	29	28	45	28	83	76	60	63	58	38	84	3	57	26	40	37	33	63	68	28	31	44	29
pdam_00000354	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	931028;932463;933022;936865	931081;932539;933075;936949	+;+;+;+	270	17	16	18	3	14	6	13	2	5	7	9	6	14	10	23	16	31	14	6	2	3	1	11	7	5	43	40	2	18	6	17
pdam_00000355	SczhEnG_1415	938361	939968	+	1608	78	61	80	36	122	46	112	71	53	46	27	39	136	105	111	147	160	159	80	12	28	60	83	95	59	149	102	65	195	125	127
pdam_00000356	SczhEnG_1415;SczhEnG_1415	940988;941911	941122;942039	-;-	264	55	48	78	40	20	32	57	7	41	47	54	44	89	73	97	55	115	66	26	4	18	33	62	40	71	121	55	38	54	39	67
pdam_00000357	SczhEnG_1415;SczhEnG_1415	944220;945030	944259;945244	-;-	255	653	390	586	317	455	292	399	578	351	303	320	331	890	551	978	616	970	481	423	114	595	771	431	320	387	584	699	753	543	644	694
pdam_00000358	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	946662;946981;948004;948537;948890;949654;950358;951096;951467;952229;952574;952793;952945	946872;947060;948115;948570;949272;949830;950385;951175;951576;952302;952647;952824;955197	+;+;+;+;+;+;+;+;+;+;+;+;+	3648	346	345	378	237	315	222	295	240	270	302	453	293	523	542	459	504	665	344	251	35	204	190	329	355	339	540	473	209	630	476	468
pdam_00000359	SczhEnG_1415;SczhEnG_1415	957548;960451	958720;960587	-;-	1310	8	14	11	12	10	10	8	19	5	10	10	12	32	32	33	25	35	6	4	0	2	3	24	24	10	21	19	10	36	26	18
pdam_00000360	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	960630;961596;962830;963396	960765;961796;962985;963467	+;+;+;+	565	84	60	82	24	42	42	39	65	38	30	38	41	71	77	49	84	138	75	72	5	21	32	58	54	65	72	107	40	89	80	83
pdam_00000361	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	962965;964447;965664;966289;967421;968162;968502;969114;969457;969805;972249	964261;965259;965747;966387;967489;968236;968554;969162;969510;969885;972635	-;-;-;-;-;-;-;-;-;-;-	3061	837	1034	1294	345	579	582	637	420	688	501	477	729	1305	1107	830	930	1841	955	794	66	559	406	868	613	700	1405	1198	504	1131	846	1141
pdam_00000362	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	974247;976144;976399;977111;977820;978569;980289;981350;982142;982302	975317;976294;976492;977251;977909;978733;980342;981519;982213;982527	-;-;-;-;-;-;-;-;-;-	2234	845	928	860	499	713	799	566	894	927	624	1128	1009	1507	1442	1206	1469	1587	843	942	76	745	625	659	560	874	1161	1430	721	1528	1301	1198
pdam_00000363	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	987391;990879;991730;992949	988227;991495;992099;993866	+;+;+;+	2742	5	12	12	8	13	13	14	26	6	20	12	9	35	17	31	56	36	13	9	0	0	3	10	10	10	27	22	6	20	23	11
